sample	blup
p22.C1	-0.111375949651208
p22.C3	-0.281173057003607
p22.D1	0.104811758848308
p22.D2	0.157595795997163
p22.D4	0.113416506091771
p22.D5	0.291462370108648
p22.D7	0.207278427885179
p22.D8	-0.280259729094429
p22.E7	-0.266901602011798
p22.F1	0.0789153399959899
p22.G7	-0.0333191733012355
p22.H4	0.227332913219334
p23.A2	-0.820462109598578
p23.A3	-0.00974299067372179
p23.A7	0.0135337791441626
p23.B1	0.0356457245733421
p23.B2	-0.336899810817493
p23.B3	-0.203926649795761
p23.B6	0.0448275415775649
p23.B8	-0.0327044152112794
p23.C2	-0.023564528260912
p23.C3	-0.208212487198697
p23.C4	0.0203710431861752
p23.C9	-0.0379272982045584
p23.D4	0.0579376236838816
p23.D7	-0.00722416217931215
p23.E7	-0.0869805916500253
p23.E9	0.142583108355491
p23.G5	-0.00585919214090121
p23.G9	0.0279969504942361
p24.B10	0.17591345816604
p24.B3	0.213933491246072
p24.B4	-0.294912997355953
p24.B5	0.139880073170767
p24.B7	0.223108426173632
p24.C4	-0.0200492659052729
p24.D11	0.165002871303281
p24.D3	0.133043021548559
p24.D7	0.0821196717981425
p24.E11	0.232588854426308
p24.F7	0.243588494658136
p24.G4	-0.147091763037154
p24.H2	0.252917784666413
p25.A12	-0.394874470817387
p25.A3	0.191471839926699
p25.A4	-0.160463834219577
p25.A8	-0.105751790087361
p25.B1	-0.15616492145747
p25.B2	0.133115995493422
p25.B9	-0.216835311922179
p25.C11	0.0895622278339481
p25.C2	-0.055547659829202
p25.D2	0.143708375767044
p25.D3	0.14410364681051
p25.D7	-0.170374475993742
p25.E3	0.116845239805641
p25.E8	-0.182112341049168
p25.F9	-0.209297091371045
p25.G3	0.100510460940075
p25.H10	0.0616917750175296
p25.H4	-0.139410464731944
p26.A5	-0.685470387141003
p26.A8	0.184169964364654
p26.B1	0.0234530771340022
p26.B10	-0.120339441487405
p26.B7	0.0620438718773881
p26.B8	0.106157672670061
p26.D2	0.119792453136873
p26.D4	0.114713585485674
p26.D6	0.0145120872593713
p26.D7	0.0510799269382195
p26.D8	-0.11765898970196
p26.E7	0.19894456304178
p3.A3	0.0555348306141084
p3.B7	-0.0100735971033803
p3.D2	0.178808036243201
p3.E2	-0.154126434323675
p3.E6	0.062156131582089
p3.E8	-0.0767239705521036
p3.F12	-0.00890296618673047
p3.F8	-0.0879654587349791
p3.G1	0.0726195672382176
p3.G9	-0.229700405701615
p4.A10	-0.155408958823589
p4.A5	0.0290002333449196
p4.A6	-0.159761708609641
p4.A9	-0.178289390447999
p4.B7	-0.261855072488803
p4.D2	-0.409449719883129
p4.E5	0.224383666248445
p4.E6	0.200790312726022
p4.F10	0.179551802287252
p4.F11	0.15763239831072
p4.F5	0.251534360768588
p4.G8	-0.111469247367843
p5.B3	0.0710721206209302
p5.B4	0.0180268843870751
p5.B9	-0.753203693718756
p5.C1	0.200916496555804
p5.C3	0.171369136418951
p5.C8	0.0251364967492774
p5.D5	-0.176052247141069
p5.F7	-0.205413976229989
p5.H11	0.117255079519146
p6.A7	-0.206427585590279
p6.A8	-0.140661857337349
p6.A9	-0.095165251539458
p6.B2	0.252700284067786
p6.B7	-0.0270095419543968
p6.C2	-0.19162270735939
p6.D1	-0.308275941091468
p6.D6	0.214692951991236
p6.D7	0.242290548735908
p6.D8	0.296826584512269
p6.E1	0.175143464599565
p6.E6	0.156010978806334
p6.F4	0.019844905459898
p6.F8	0.0890621858673634
p6.F9	0.0699235022277467
p6.G5	0.168726164096982
p6.H1	0.189892700168517
p6.H8	-0.190073285159836
p7.A8	0.145242744918417
p7.D10	0.217127404944218
p7.D12	-0.615740695233558
p7.D8	0.00932746502747201
p7.E1	-0.210956636150396
p7.F10	-0.000515502093331496
p7.G11	0.169606481273991
p7.G6	0.220420198580065
p7.H2	-0.217337849368633
p7.H8	-0.281691445935928
p8.A7	-0.122540163188932
p8.B2	0.0242255147327994
p8.B3	0.00490651216779797
p8.B9	-0.158610320988245
p8.C7	0.19461289937542
p8.D5	0.28891848183838
p8.E10	-0.164006941423954
p8.E4	-0.459560203667779
p8.E5	0.0376016504549879
p8.H7	0.0728210080734537
p9.B12	-0.186080509764989
p9.B7	0.117453990735617
p9.C1	0.162210664091305
p9.E10	0.1277549062103
p9.E2	0.149712264667281
p9.F1	-0.0730850005436407
p9.G7	-0.0453872354953629
p9.H5	0.248239894359757
