sample	blups
p25.B9	0.4690948661941839
p25.C11	0.868262594893269
p25.C2	0.6691206876027962
p25.D2	0.9468873420371874
p25.D3	0.9474696197898275
p25.D7	0.5242736825868302
p25.E3	0.90759591226161
p25.E8	0.5101408492227106
p25.F9	0.4779080145466379
p25.G3	0.8839766102508072
p25.H10	0.8286867003753249
p25.H4	0.5621674740765769
p26.A5	0.04965272735115679
p26.A8	1.0071065015303775
p26.B1	0.7753992769876651
p26.B10	0.5859414870571537
p26.B7	0.8291828281330387
p26.B8	0.8921187161353564
p26.D2	0.911879503804782
p26.D4	0.9045018777359543
p26.D6	0.7631107943829124
p26.D7	0.8137804458775795
p26.D8	0.5893091800885253
p26.E7	1.0294022397697549
p3.A3	0.8200271760589658
p3.B7	0.729659591293715
p3.D2	0.999055367546887
p3.E2	0.5440481729366121
p3.E6	0.8293410302886675
p3.E8	0.641531024095908
p3.F12	0.7312409901967547
p3.F8	0.6270431002159276
p3.G1	0.8441307241569964
p3.G9	0.45418079253082166
p4.A10	0.5424784356092367
p4.A5	0.7830561069825287
p4.A6	0.5371622036180175
p4.A9	0.514729682761629
p4.B7	0.4176151181368573
p4.D2	0.26359723353132003
p4.E5	1.0681706286102366
p4.E6	1.0321990020894156
p4.F10	1.0001708726946217
p4.F11	0.9674707200322347
p4.F5	1.1100711078746117
p4.G8	0.5971104483927441
p5.B3	0.8419379765912839
p5.B4	0.7679337190300318
p5.B9	0.017481866420576742
p5.C1	1.0323902938166103
p5.C3	0.9879213162547591
p5.C8	0.7777202773120874
p5.D5	0.5174213576218765
p5.F7	0.4824691686719498
p5.H11	0.9081911862947937
p6.A7	0.48127717832416506
p6.A8	0.5606189884698801
p6.A9	0.6178221938138615
p6.B2	1.1118824321663343
p6.B7	0.70690906655849
p6.C2	0.49878479432812745
p6.D1	0.3666645686203771
p6.D6	1.0533459840296568
p6.D7	1.0957452448837233
p6.D8	1.181153684935893
p6.E1	0.9935652820399533
p6.E6	0.9650662508933717
p6.F4	0.7704323377231633
p6.F8	0.8675471298570151
p6.F9	0.8403116024033764
p6.G5	0.9839755155759182
p6.H1	1.0157231321505138
p6.H8	0.5006290992244176
p7.A8	0.9491483039117179
p7.D10	1.0570636594286127
p7.D12	0.09269643695668212
p7.D8	0.7560150886330124
p7.E1	0.4759631023414453
p7.F10	0.7426048895633821
p7.G11	0.9852891921478522
p7.G6	1.0620990561644967
p7.H2	0.4685092817698856
p7.H8	0.395573155409517
p8.A7	0.5831813355589069
p8.B2	0.7764639815968529
p8.B3	0.7499820235831469
p8.B9	0.5385667531135427
p8.C7	1.022848651623866
p8.D5	1.1686368162834846
p8.E10	0.5319941252368526
p8.E4	0.2169023424316968
